Assays,Source,Gene,Tissue,Cell,Type of body mapping,,,,,,,,,,,,,,
APR_Hepat_NuclearSize_1hr_up,APR,NA,liver,hepatocyte,tissue,,,,,,,,,,,,,,
APR_Hepat_NuclearSize_24hr_dn,APR,NA,liver,hepatocyte,tissue,,,,,,,,,,,,,,
APR_Hepat_NuclearSize_24hr_up,APR,NA,liver,hepatocyte,tissue,,,,,,,,,,,,,,
APR_Hepat_NuclearSize_48hr_dn,APR,NA,liver,hepatocyte,tissue,,,,,,,,,,,,,,
APR_Hepat_NuclearSize_48hr_up,APR,NA,liver,hepatocyte,tissue,,,,,,,,,,,,,,
APR_Hepat_Steatosis_1hr_dn,APR,NA,liver,hepatocyte,tissue,,,,,,,,,,,,,,
APR_Hepat_Steatosis_1hr_up,APR,NA,liver,hepatocyte,tissue,,,,,,,,,,,,,,
APR_Hepat_Steatosis_24hr_dn,APR,NA,liver,hepatocyte,tissue,,,,,,,,,,,,,,
APR_Hepat_Steatosis_24hr_up,APR,NA,liver,hepatocyte,tissue,,,,,,,,,,,,,,
APR_Hepat_Steatosis_48hr_dn,APR,NA,liver,hepatocyte,tissue,,,,,,,,,,,,,,
APR_Hepat_Steatosis_48hr_up,APR,NA,liver,hepatocyte,tissue,,,,,,,,,,,,,,
APR_HepG2_CellCycleArrest_1h_dn,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_CellCycleArrest_1h_up,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_CellCycleArrest_24h_dn,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_CellCycleArrest_24h_up,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_CellCycleArrest_72h_dn,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_CellCycleArrest_72h_up,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_CellLoss_1h_dn,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
APR_HepG2_CellLoss_1h_up,APR,NA,liver,HepG2,tissue,,,,,,,,,,,,,,
