Assays,Source,Gene,Tissue,Cell,Type of body mapping,,,,,,,,,,,,,,
ATG_GPCR_GPR40_TRANS_up,ATG,FFAR1,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_GPCR_GQ_TRANS_dn,ATG,GNAQ,liver,HepG2,none,,,,,,,,,,,,,,
ATG_GPCR_GQ_TRANS_up,ATG,GNAQ,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_GPCR_GS_TRANS_dn,ATG,GNAS,liver,HepG2,none,,,,,,,,,,,,,,
ATG_GPCR_GS_TRANS_up,ATG,GNAS,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_GPCR_GS1_TRANS_dn,ATG,GNAS,liver,HepG2,none,,,,,,,,,,,,,,
ATG_GPCR_GS1_TRANS_up,ATG,GNAS,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_GPCR_HRH1_TRANS_dn,ATG,HRH1|HRH1,liver,HepG2,none,,,,,,,,,,,,,,
ATG_GPCR_HRH1_TRANS_up,ATG,HRH1|HRH1,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_GPCR_HTR6_TRANS_dn,ATG,HTR6,liver,HepG2,none,,,,,,,,,,,,,,
ATG_GPCR_HTR6_TRANS_up,ATG,HTR6,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_GPCR_HTR7_TRANS_dn,ATG,HTR7,liver,HepG2,none,,,,,,,,,,,,,,
ATG_GPCR_HTR7_TRANS_up,ATG,HTR7,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_GPCR_LPAR4_TRANS_dn,ATG,LPAR4,liver,HepG2,none,,,,,,,,,,,,,,
ATG_GPCR_LPAR4_TRANS_up,ATG,LPAR4,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_GPCR_MC1R_TRANS_dn,ATG,MC1R,liver,HepG2,none,,,,,,,,,,,,,,
ATG_GPCR_MC1R_TRANS_up,ATG,MC1R,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_GPCR_MC2R_TRANS_dn,ATG,MC2R,liver,HepG2,none,,,,,,,,,,,,,,
ATG_GPCR_MC2R_TRANS_up,ATG,MC2R,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_GPCR_MC3R_TRANS_dn,ATG,MC3R,liver,HepG2,none,,,,,,,,,,,,,,
ATG_GPCR_MC3R_TRANS_up,ATG,MC3R,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_GPCR_MC4R_TRANS_dn,ATG,MC4R,liver,HepG2,none,,,,,,,,,,,,,,
ATG_GPCR_MC4R_TRANS_up,ATG,MC4R,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_GPCR_PTGDR_TRANS_dn,ATG,PTGDR,liver,HepG2,none,,,,,,,,,,,,,,
ATG_GPCR_PTGDR_TRANS_up,ATG,PTGDR,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_GPCR_PTGIR_TRANS_dn,ATG,PTGIR,liver,HepG2,none,,,,,,,,,,,,,,
ATG_GPCR_PTGIR_TRANS_up,ATG,PTGIR,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_GR_TRANS_dn,ATG,NR3C1,liver,HepG2,none,,,,,,,,,,,,,,
ATG_GR_TRANS_up,ATG,NR3C1,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_GRE_CIS_dn,ATG,NR3C1,liver,HepG2,none,,,,,,,,,,,,,,
ATG_GRE_CIS_up,ATG,NR3C1,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_HIF1a_CIS_dn,ATG,HIF1A,liver,HepG2,none,,,,,,,,,,,,,,
ATG_HIF1a_CIS_up,ATG,HIF1A,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_HNF4a_TRANS_dn,ATG,HNF4A,liver,HepG2,none,,,,,,,,,,,,,,
ATG_HNF4a_TRANS_up,ATG,HNF4A,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_HNF4g_TRANS2_dn,ATG,HNF4G,liver,HepG2,none,,,,,,,,,,,,,,
ATG_HNF4g_TRANS2_up,ATG,HNF4G,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_HNF6_CIS_dn,ATG,ONECUT1,liver,HepG2,none,,,,,,,,,,,,,,
ATG_HNF6_CIS_up,ATG,ONECUT1,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_Hpa5_TRANS_dn,ATG,NA,liver,HepG2,none,,,,,,,,,,,,,,
ATG_Hpa5_TRANS_up,ATG,NA,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_HSE_CIS_dn,ATG,HSF1,liver,HepG2,none,,,,,,,,,,,,,,
ATG_HSE_CIS_up,ATG,HSF1,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_IR1_CIS_dn,ATG,NR1H4,liver,HepG2,none,,,,,,,,,,,,,,
ATG_IR1_CIS_up,ATG,NR1H4,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_ISRE_CIS_dn,ATG,IRF1,liver,HepG2,none,,,,,,,,,,,,,,
ATG_ISRE_CIS_up,ATG,IRF1,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_LRH1_TRANS2_dn,ATG,NR5A2,liver,HepG2,none,,,,,,,,,,,,,,
ATG_LRH1_TRANS2_up,ATG,NR5A2,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_LXRa_TRANS_dn,ATG,NR1H3,liver,HepG2,none,,,,,,,,,,,,,,
ATG_LXRa_TRANS_up,ATG,NR1H3,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_LXRb_TRANS_dn,ATG,NR1H2,liver,HepG2,none,,,,,,,,,,,,,,
ATG_LXRb_TRANS_up,ATG,NR1H2,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_M_06_CIS_dn,ATG,NA,liver,HepG2,none,,,,,,,,,,,,,,
ATG_M_06_CIS_up,ATG,NA,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_M_06_TRANS_dn,ATG,NA,liver,HepG2,none,,,,,,,,,,,,,,
ATG_M_06_TRANS_up,ATG,NA,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_M_19_CIS_dn,ATG,NA,liver,HepG2,none,,,,,,,,,,,,,,
ATG_M_19_CIS_up,ATG,NA,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_M_19_TRANS_dn,ATG,NA,liver,HepG2,none,,,,,,,,,,,,,,
ATG_M_19_TRANS_up,ATG,NA,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_M_32_CIS_dn,ATG,NA,liver,HepG2,none,,,,,,,,,,,,,,
ATG_M_32_CIS_up,ATG,NA,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_M_32_TRANS_dn,ATG,NA,liver,HepG2,none,,,,,,,,,,,,,,
ATG_M_32_TRANS_up,ATG,NA,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_M_61_CIS_dn,ATG,NA,liver,HepG2,none,,,,,,,,,,,,,,
ATG_M_61_CIS_up,ATG,NA,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_M_61_TRANS_dn,ATG,NA,liver,HepG2,none,,,,,,,,,,,,,,
ATG_M_61_TRANS_up,ATG,NA,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_MR_TRANS2_dn,ATG,NR3C2,liver,HepG2,none,,,,,,,,,,,,,,
ATG_MR_TRANS2_up,ATG,NR3C2,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_MRE_CIS_dn,ATG,MTF1,liver,HepG2,none,,,,,,,,,,,,,,
ATG_MRE_CIS_up,ATG,MTF1,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_Myb_CIS_dn,ATG,MYB,liver,HepG2,none,,,,,,,,,,,,,,
ATG_Myb_CIS_up,ATG,MYB,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_Myc_CIS_dn,ATG,MYC,liver,HepG2,none,,,,,,,,,,,,,,
ATG_Myc_CIS_up,ATG,MYC,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_NF_kB_CIS_dn,ATG,NFKB1,liver,HepG2,none,,,,,,,,,,,,,,
ATG_NF_kB_CIS_up,ATG,NFKB1,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_NFI_CIS_dn,ATG,NFIA,liver,HepG2,none,,,,,,,,,,,,,,
ATG_NFI_CIS_up,ATG,NFIA,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_NOR1_TRANS2_dn,ATG,NR4A3,liver,HepG2,none,,,,,,,,,,,,,,
ATG_NOR1_TRANS2_up,ATG,NR4A3,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_NRF1_CIS_dn,ATG,NRF1,liver,HepG2,none,,,,,,,,,,,,,,
ATG_NRF1_CIS_up,ATG,NRF1,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_NRF2_ARE_CIS_dn,ATG,NFE2L2,liver,HepG2,none,,,,,,,,,,,,,,
ATG_NRF2_ARE_CIS_up,ATG,NFE2L2,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_NUR77_TRANS2_dn,ATG,NR4A1,liver,HepG2,none,,,,,,,,,,,,,,
ATG_NUR77_TRANS2_up,ATG,NR4A1,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_NURR1_TRANS_dn,ATG,NR4A2,liver,HepG2,none,,,,,,,,,,,,,,
ATG_NURR1_TRANS_up,ATG,NR4A2,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_Oct_MLP_CIS_dn,ATG,POU2F1,liver,HepG2,none,,,,,,,,,,,,,,
ATG_Oct_MLP_CIS_up,ATG,POU2F1,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_p53_CIS_dn,ATG,TP53,liver,HepG2,none,,,,,,,,,,,,,,
ATG_p53_CIS_up,ATG,TP53,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_Pax6_CIS_dn,ATG,PAX6,liver,HepG2,none,,,,,,,,,,,,,,
ATG_Pax6_CIS_up,ATG,PAX6,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_PBREM_CIS_dn,ATG,NR1I3,liver,HepG2,none,,,,,,,,,,,,,,
ATG_PBREM_CIS_up,ATG,NR1I3,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_PNR_TRANS2_dn,ATG,NR2E3,liver,HepG2,none,,,,,,,,,,,,,,
ATG_PNR_TRANS2_up,ATG,NR2E3,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_PPARa_TRANS_dn,ATG,PPARA,liver,HepG2,none,,,,,,,,,,,,,,
ATG_PPARa_TRANS_up,ATG,PPARA,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_PPARd_TRANS_dn,ATG,PPARD,liver,HepG2,none,,,,,,,,,,,,,,
ATG_PPARd_TRANS_up,ATG,PPARD,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_PPARg_TRANS_dn,ATG,PPARG,liver,HepG2,none,,,,,,,,,,,,,,
ATG_PPARg_TRANS_up,ATG,PPARG,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_PPRE_CIS_dn,ATG,PPARA|PPARD|PPARG,liver,HepG2,none,,,,,,,,,,,,,,
ATG_PPRE_CIS_up,ATG,PPARA|PPARD|PPARG,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_PR_TRANS2_dn,ATG,PGR|PGR,liver,HepG2,none,,,,,,,,,,,,,,
ATG_PR_TRANS2_up,ATG,PGR,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_PXR_TRANS_dn,ATG,NR1I2,liver,HepG2,none,,,,,,,,,,,,,,
ATG_PXR_TRANS_up,ATG,NR1I2,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_PXRE_CIS_dn,ATG,NR1I2,liver,HepG2,none,,,,,,,,,,,,,,
ATG_PXRE_CIS_up,ATG,NR1I2,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_RARa_TRANS_dn,ATG,RARA,liver,HepG2,none,,,,,,,,,,,,,,
ATG_RARa_TRANS_up,ATG,RARA,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_RARb_TRANS_dn,ATG,RARB,liver,HepG2,none,,,,,,,,,,,,,,
ATG_RARb_TRANS_up,ATG,RARB,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_RARg_TRANS_dn,ATG,RARG,liver,HepG2,none,,,,,,,,,,,,,,
ATG_RARg_TRANS_up,ATG,RARG,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_Rev_ERB_A_TRANS2_dn,ATG,NR1D1,liver,HepG2,none,,,,,,,,,,,,,,
ATG_Rev_ERB_A_TRANS2_up,ATG,NR1D1,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_Rev_ERB_B_TRANS2_dn,ATG,NR1D2,liver,HepG2,none,,,,,,,,,,,,,,
ATG_Rev_ERB_B_TRANS2_up,ATG,NR1D2,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_RORa_TRANS2_dn,ATG,RORA,liver,HepG2,none,,,,,,,,,,,,,,
ATG_RORa_TRANS2_up,ATG,RORA,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_RORb_TRANS_dn,ATG,RORB,liver,HepG2,none,,,,,,,,,,,,,,
ATG_RORb_TRANS_up,ATG,RORB,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_RORE_CIS_dn,ATG,RORA|RORB|RORC,liver,HepG2,none,,,,,,,,,,,,,,
ATG_RORE_CIS_up,ATG,RORA|RORB|RORC,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_RORg_TRANS_dn,ATG,RORC,liver,HepG2,none,,,,,,,,,,,,,,
ATG_RORg_TRANS_up,ATG,RORC,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_RXRa_TRANS_dn,ATG,RXRA,liver,HepG2,none,,,,,,,,,,,,,,
ATG_RXRa_TRANS_up,ATG,RXRA,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_RXRb_TRANS_dn,ATG,RXRB,liver,HepG2,none,,,,,,,,,,,,,,
ATG_RXRb_TRANS_up,ATG,RXRB,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_RXRg_TRANS2_dn,ATG,RXRG,liver,HepG2,none,,,,,,,,,,,,,,
ATG_RXRg_TRANS2_up,ATG,NA,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_SF_1_TRANS2_dn,ATG,NR5A1,liver,HepG2,none,,,,,,,,,,,,,,
ATG_SF_1_TRANS2_up,ATG,NR5A1,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_SHP_TRANS2_dn,ATG,NR0B2,liver,HepG2,none,,,,,,,,,,,,,,
ATG_SHP_TRANS2_up,ATG,NR0B2,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_Sox_CIS_dn,ATG,SOX1,liver,HepG2,none,,,,,,,,,,,,,,
ATG_Sox_CIS_up,ATG,SOX1,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_Sp1_CIS_dn,ATG,SP1,liver,HepG2,none,,,,,,,,,,,,,,
ATG_Sp1_CIS_up,ATG,SP1,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_SREBP_CIS_dn,ATG,SREBF1,liver,HepG2,none,,,,,,,,,,,,,,
ATG_SREBP_CIS_up,ATG,SREBF1,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_STAT3_CIS_dn,ATG,STAT3,liver,HepG2,none,,,,,,,,,,,,,,
ATG_STAT3_CIS_up,ATG,STAT3,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_TA_CIS_dn,ATG,NA,liver,HepG2,none,,,,,,,,,,,,,,
ATG_TA_CIS_up,ATG,NA,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_TAL_CIS_dn,ATG,NA,liver,HepG2,none,,,,,,,,,,,,,,
ATG_TAL_CIS_up,ATG,NA,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_TCF_b_cat_CIS_dn,ATG,TCF7|TCF7L2|LEF1|TCF7L1,liver,HepG2,none,,,,,,,,,,,,,,
ATG_TCF_b_cat_CIS_up,ATG,TCF7|TCF7L2|LEF1|TCF7L1,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_TGFb_CIS_dn,ATG,TGFB1,liver,HepG2,none,,,,,,,,,,,,,,
ATG_TGFb_CIS_up,ATG,TGFB1|TGFBR1,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_THRa1_TRANS_dn,ATG,THRA|THRA,liver,HepG2,none,,,,,,,,,,,,,,
ATG_THRa1_TRANS_up,ATG,THRA,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_THRb_TRANS2_dn,ATG,THRB,liver,HepG2,none,,,,,,,,,,,,,,
ATG_THRb_TRANS2_up,ATG,THRB,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_TLX_TRANS2_dn,ATG,NR2E1,liver,HepG2,none,,,,,,,,,,,,,,
ATG_TLX_TRANS2_up,ATG,NR2E1,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_TR2_TRANS2_dn,ATG,NR2C1,liver,HepG2,none,,,,,,,,,,,,,,
ATG_TR2_TRANS2_up,ATG,NR2C1,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_TR4_TRANS2_dn,ATG,NR2C2,liver,HepG2,none,,,,,,,,,,,,,,
ATG_TR4_TRANS2_up,ATG,NR2C2,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_VDR_TRANS_dn,ATG,VDR,liver,HepG2,none,,,,,,,,,,,,,,
ATG_VDR_TRANS_up,ATG,VDR,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_VDRE_CIS_dn,ATG,VDR,liver,HepG2,none,,,,,,,,,,,,,,
ATG_VDRE_CIS_up,ATG,VDR,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_Xbp1_CIS_dn,ATG,XBP1,liver,HepG2,none,,,,,,,,,,,,,,
ATG_Xbp1_CIS_up,ATG,XBP1,liver,HepG2,gene target,,,,,,,,,,,,,,
ATG_XTT_Cytotoxicity_up,ATG,NA,liver,HepG2,viability,,,,,,,,,,,,,,
BSK_3C_Eselectin_down,BSK,SELE,vascular,umbilical vein endothelium,tissue,,,,,,,,,,,,,,
BSK_3C_Eselectin_up,BSK,SELE,vascular,umbilical vein endothelium,tissue,,,,,,,,,,,,,,
BSK_3C_HLADR_down,BSK,HLA-DRA,vascular,umbilical vein endothelium,tissue,,,,,,,,,,,,,,
BSK_3C_HLADR_up,BSK,HLA-DRA,vascular,umbilical vein endothelium,tissue,,,,,,,,,,,,,,
BSK_3C_ICAM1_down,BSK,ICAM1,vascular,umbilical vein endothelium,tissue,,,,,,,,,,,,,,
BSK_3C_ICAM1_up,BSK,ICAM1,vascular,umbilical vein endothelium,tissue,,,,,,,,,,,,,,
BSK_3C_IL8_down,BSK,CXCL8,vascular,umbilical vein endothelium,tissue,,,,,,,,,,,,,,
BSK_3C_IL8_up,BSK,CXCL8,vascular,umbilical vein endothelium,tissue,,,,,,,,,,,,,,
BSK_3C_MCP1_down,BSK,CCL2,vascular,umbilical vein endothelium,tissue,,,,,,,,,,,,,,
BSK_3C_MCP1_up,BSK,CCL2,vascular,umbilical vein endothelium,tissue,,,,,,,,,,,,,,
BSK_3C_MIG_down,BSK,CXCL9,vascular,umbilical vein endothelium,tissue,,,,,,,,,,,,,,
BSK_3C_MIG_up,BSK,CXCL9,vascular,umbilical vein endothelium,tissue,,,,,,,,,,,,,,
BSK_3C_Proliferation_down,BSK,NA,vascular,umbilical vein endothelium,tissue,,,,,,,,,,,,,,
BSK_3C_Proliferation_up,BSK,NA,vascular,umbilical vein endothelium,tissue,,,,,,,,,,,,,,
BSK_3C_SRB_down,BSK,NA,vascular,umbilical vein endothelium,tissue,,,,,,,,,,,,,,
BSK_3C_SRB_up,BSK,NA,vascular,umbilical vein endothelium,tissue,,,,,,,,,,,,,,
BSK_3C_Thrombomodulin_down,BSK,THBD,vascular,umbilical vein endothelium,tissue,,,,,,,,,,,,,,
BSK_3C_Thrombomodulin_up,BSK,THBD,vascular,umbilical vein endothelium,tissue,,,,,,,,,,,,,,
BSK_3C_TissueFactor_down,BSK,F3,vascular,umbilical vein endothelium,tissue,,,,,,,,,,,,,,
BSK_3C_TissueFactor_up,BSK,F3,vascular,umbilical vein endothelium,tissue,,,,,,,,,,,,,,
BSK_3C_uPAR_down,BSK,PLAUR,vascular,umbilical vein endothelium,tissue,,,,,,,,,,,,,,
BSK_3C_uPAR_up,BSK,PLAUR,vascular,umbilical vein endothelium,tissue,,,,,,,,,,,,,,
BSK_3C_VCAM1_down,BSK,VCAM1,vascular,umbilical vein endothelium,tissue,,,,,,,,,,,,,,
BSK_3C_VCAM1_up,BSK,VCAM1,vascular,umbilical vein endothelium,tissue,,,,,,,,,,,,,,
BSK_3C_Vis_down,BSK,NA,vascular,umbilical vein endothelium,tissue,,,,,,,,,,,,,,
BSK_3C_Vis_up,BSK,NA,vascular,umbilical vein endothelium,tissue,,,,,,,,,,,,,,
BSK_4H_Eotaxin3_down,BSK,CCL26,vascular,umbilical vein endothelium,tissue,,,,,,,,,,,,,,
BSK_4H_Eotaxin3_up,BSK,CCL26,vascular,umbilical vein endothelium,tissue,,,,,,,,,,,,,,
BSK_4H_MCP1_down,BSK,CCL2,vascular,umbilical vein endothelium,tissue,,,,,,,,,,,,,,
BSK_4H_MCP1_up,BSK,CCL2,vascular,umbilical vein endothelium,tissue,,,,,,,,,,,,,,
BSK_4H_Pselectin_down,BSK,SELP,vascular,umbilical vein endothelium,tissue,,,,,,,,,,,,,,
BSK_4H_Pselectin_up,BSK,SELP,vascular,umbilical vein endothelium,tissue,,,,,,,,,,,,,,
BSK_4H_SRB_down,BSK,NA,vascular,umbilical vein endothelium,tissue,,,,,,,,,,,,,,
BSK_4H_SRB_up,BSK,NA,vascular,umbilical vein endothelium,tissue,,,,,,,,,,,,,,
BSK_4H_uPAR_down,BSK,PLAUR,vascular,umbilical vein endothelium,tissue,,,,,,,,,,,,,,
BSK_4H_uPAR_up,BSK,PLAUR,vascular,umbilical vein endothelium,tissue,,,,,,,,,,,,,,
BSK_4H_VCAM1_down,BSK,VCAM1,vascular,umbilical vein endothelium,tissue,,,,,,,,,,,,,,
BSK_4H_VCAM1_up,BSK,VCAM1,vascular,umbilical vein endothelium,tissue,,,,,,,,,,,,,,
BSK_4H_VEGFRII_down,BSK,KDR,vascular,umbilical vein endothelium,tissue,,,,,,,,,,,,,,
BSK_4H_VEGFRII_up,BSK,KDR,vascular,umbilical vein endothelium,tissue,,,,,,,,,,,,,,
BSK_BE3C_HLADR_down,BSK,HLA-DRA,lung,bronchial epithelial cells,tissue,,,,,,,,,,,,,,
BSK_BE3C_HLADR_up,BSK,HLA-DRA,lung,bronchial epithelial cells,tissue,,,,,,,,,,,,,,
BSK_BE3C_IL1a_down,BSK,IL1A,lung,bronchial epithelial cells,tissue,,,,,,,,,,,,,,
BSK_BE3C_IL1a_up,BSK,IL1A,lung,bronchial epithelial cells,tissue,,,,,,,,,,,,,,
BSK_BE3C_IP10_down,BSK,CXCL10,lung,bronchial epithelial cells,tissue,,,,,,,,,,,,,,
BSK_BE3C_IP10_up,BSK,CXCL10,lung,bronchial epithelial cells,tissue,,,,,,,,,,,,,,
BSK_BE3C_MIG_down,BSK,CXCL9,lung,bronchial epithelial cells,tissue,,,,,,,,,,,,,,
BSK_BE3C_MIG_up,BSK,CXCL9,lung,bronchial epithelial cells,tissue,,,,,,,,,,,,,,
BSK_BE3C_MMP1_down,BSK,MMP1,lung,bronchial epithelial cells,tissue,,,,,,,,,,,,,,
BSK_BE3C_MMP1_up,BSK,MMP1,lung,bronchial epithelial cells,tissue,,,,,,,,,,,,,,
BSK_BE3C_PAI1_down,BSK,SERPINE1,lung,bronchial epithelial cells,tissue,,,,,,,,,,,,,,
BSK_BE3C_PAI1_up,BSK,SERPINE1,lung,bronchial epithelial cells,tissue,,,,,,,,,,,,,,
BSK_BE3C_SRB_down,BSK,NA,lung,bronchial epithelial cells,tissue,,,,,,,,,,,,,,
BSK_BE3C_SRB_up,BSK,NA,lung,bronchial epithelial cells,tissue,,,,,,,,,,,,,,
BSK_BE3C_TGFb1_down,BSK,TGFB1|TGFBR1,lung,bronchial epithelial cells,tissue,,,,,,,,,,,,,,
BSK_BE3C_TGFb1_up,BSK,TGFB1|TGFBR1,lung,bronchial epithelial cells,tissue,,,,,,,,,,,,,,
BSK_BE3C_tPA_down,BSK,PLAT,lung,bronchial epithelial cells,tissue,,,,,,,,,,,,,,
BSK_BE3C_tPA_up,BSK,PLAT,lung,bronchial epithelial cells,tissue,,,,,,,,,,,,,,
BSK_BE3C_uPA_down,BSK,PLAU,lung,bronchial epithelial cells,tissue,,,,,,,,,,,,,,
BSK_BE3C_uPA_up,BSK,PLAU,lung,bronchial epithelial cells,tissue,,,,,,,,,,,,,,
BSK_BE3C_uPAR_down,BSK,PLAUR,lung,bronchial epithelial cells,tissue,,,,,,,,,,,,,,
BSK_BE3C_uPAR_up,BSK,PLAUR,lung,bronchial epithelial cells,tissue,,,,,,,,,,,,,,
BSK_CASM3C_HLADR_down,BSK,HLA-DRA,vascular,coronary artery smooth muscle cells,tissue,,,,,,,,,,,,,,
BSK_CASM3C_HLADR_up,BSK,HLA-DRA,vascular,coronary artery smooth muscle cells,tissue,,,,,,,,,,,,,,
BSK_CASM3C_IL6_down,BSK,IL6,vascular,coronary artery smooth muscle cells,tissue,,,,,,,,,,,,,,
BSK_CASM3C_IL6_up,BSK,IL6,vascular,coronary artery smooth muscle cells,tissue,,,,,,,,,,,,,,
BSK_CASM3C_IL8_down,BSK,CXCL8,vascular,coronary artery smooth muscle cells,tissue,,,,,,,,,,,,,,
BSK_CASM3C_IL8_up,BSK,CXCL8,vascular,coronary artery smooth muscle cells,tissue,,,,,,,,,,,,,,
BSK_CASM3C_LDLR_down,BSK,LDLR,vascular,coronary artery smooth muscle cells,tissue,,,,,,,,,,,,,,
BSK_CASM3C_LDLR_up,BSK,LDLR,vascular,coronary artery smooth muscle cells,tissue,,,,,,,,,,,,,,
BSK_CASM3C_MCP1_down,BSK,CCL2,vascular,coronary artery smooth muscle cells,tissue,,,,,,,,,,,,,,
BSK_CASM3C_MCP1_up,BSK,CCL2,vascular,coronary artery smooth muscle cells,tissue,,,,,,,,,,,,,,
BSK_CASM3C_MCSF_down,BSK,CSF1,vascular,coronary artery smooth muscle cells,tissue,,,,,,,,,,,,,,
BSK_CASM3C_MCSF_up,BSK,CSF1,vascular,coronary artery smooth muscle cells,tissue,,,,,,,,,,,,,,
BSK_CASM3C_MIG_down,BSK,CXCL9,vascular,coronary artery smooth muscle cells,tissue,,,,,,,,,,,,,,
BSK_CASM3C_MIG_up,BSK,CXCL9,vascular,coronary artery smooth muscle cells,tissue,,,,,,,,,,,,,,
BSK_CASM3C_Proliferation_down,BSK,NA,vascular,coronary artery smooth muscle cells,tissue,,,,,,,,,,,,,,
BSK_CASM3C_Proliferation_up,BSK,NA,vascular,coronary artery smooth muscle cells,tissue,,,,,,,,,,,,,,
BSK_CASM3C_SAA_down,BSK,SAA1,vascular,coronary artery smooth muscle cells,tissue,,,,,,,,,,,,,,
BSK_CASM3C_SAA_up,BSK,SAA1,vascular,coronary artery smooth muscle cells,tissue,,,,,,,,,,,,,,
BSK_CASM3C_SRB_down,BSK,NA,vascular,coronary artery smooth muscle cells,tissue,,,,,,,,,,,,,,
BSK_CASM3C_SRB_up,BSK,NA,vascular,coronary artery smooth muscle cells,tissue,,,,,,,,,,,,,,
BSK_CASM3C_Thrombomodulin_down,BSK,THBD,vascular,coronary artery smooth muscle cells,tissue,,,,,,,,,,,,,,
BSK_CASM3C_Thrombomodulin_up,BSK,THBD,vascular,coronary artery smooth muscle cells,tissue,,,,,,,,,,,,,,
